,Symbol,Company Name,Exchange,Price,Shares,Date,Offer Amount,Actions,Description,Country,Group,Industry
10,OBSV,ObsEva SA,NASDAQ Global Select,15.0,"6,450,000",01/26/2017,96750000,Priced,ObsEva SA a clinical-stage biopharmaceutical company focuses on the development and commercialization of novel therapeutics for women suffering from reproductive health and pregnancy. The company is developing Linzagolix an oral gonadotropin-releasing hormone receptor antagonist for the treatment of pain associated with endometriosis and heavy menstrual bleeding associated with uterine fibroids in pre-menopausal women. It also is developing OBE022 an oral and selective prostaglandin F2a or PGF2a receptor antagonist as a once daily treatment for preterm labor in weeks 24 to 34 of gestational age; and Nolasiban an oral oxytocin receptor antagonist to enhance clinical pregnancy and live birth rates in women undergoing in vitro fertilization. The company was founded in 2012 and is headquartered in Geneva Switzerland.,Switzerland,Research,Healthcare
11,ANAB,"ANAPTYSBIO, INC",NASDAQ Global Select,15.0,"5,000,000",01/26/2017,75000000,Priced,AnaptysBio Inc. a clinical stage biotechnology company engages in developing therapeutic product candidates for inflammation and immuno-oncology indications. The company's products include Etokimab an anti-interleukin (IL)-33 program for the treatment of atopic dermatitis eosinophilic asthma and chronic rhinosinusitis with nasal polyps; ANB019 an anti-IL-36 receptor for generalized pustular psoriasis and palmoplantar pustular psoriasis; and anti-inflammatory checkpoint modulators for inflammatory diseases. It is also developing immuno-oncology products including TSR-042: anti-PD-1 TSR-022: anti-TIM-3 TSR-033: anti-LAG-3 and TSR-075: anti-PD-1/LAG-3 bispecific; and CC-90006: anti-PD-1 agonist for psoriasis as well as other products for inflammation. AnaptysBio Inc. has an immuno-oncology partnership with TESARO Inc. and TESARO Development Ltd.; and collaboration with Celgene Corporation. The company was formerly known as Anaptys Biosciences Inc. and changed its name to AnaptysBio Inc. in July 2006. AnaptysBio Inc. was founded in 2005 and is headquartered in San Diego California.,United States,Research,Healthcare
12,SLDB,Solid Biosciences Inc.,NASDAQ Global Select,16.0,"7,812,500",01/26/2018,125000000,Priced,Solid Biosciences Inc. a life science company engages in identifying and developing therapies for duchenne muscular dystrophy (DMD) in the United States. The company's lead product candidate is SGT-001 an adeno-associated viral vector-mediated gene transfer which is in a Phase I/II clinical trial to restore functional dystrophin protein expression in patients' muscles. Its portfolio also comprises Anti-LTBP4 a monoclonal antibody that is in preclinical trials to reduce fibrosis and inflammation. In addition the company engages in developing biomarkers and sensors; and Solid Suit program that includes the development of wearable assistive devices that focus on providing functional and therapeutic benefits to DMD patients. Solid Biosciences Inc. was founded in 2013 and is headquartered in Cambridge Massachusetts.,United States,Research,Healthcare
13,TORC,"resTORbio, Inc.",NASDAQ Global Select,15.0,"5,666,667",01/26/2018,85000005,Priced,resTORbio Inc. a clinical-stage biopharmaceutical company develops medicines for the treatment of aging-related diseases primarily in the United States. Its lead program inhibits the target of rapamycin complex 1 or TORC1 a pathway that contributes to the age-related decline in function of multiple organ systems. The company's lead product candidate is RTB101 an orally administered small molecule potent TORC1 inhibitor that binds to the active site of mTOR on the TORC1 complex. It has initiated a Phase 1b/2a clinical trial of RTB101 alone or in combination with sirolimus in progressive neurodegenerative disease. The company was founded in 2016 and is headquartered in Boston Massachusetts.,United States,Research,Healthcare
14,JAG,Jagged Peak Energy Inc.,NYSE,15.0,"31,599,334",01/27/2017,473990010,Priced,As of January 10 2020  operates as a subsidiary of Parsley Energy Inc.,United States,Misc.,Energy
15,JELD,"JELD-WEN Holding, Inc.",NYSE,23.0,"25,000,000",01/27/2017,575000000,Priced,JELD-WEN Holding Inc. designs manufactures and sells doors and windows primarily in North America Europe and Australasia. The company offers a line of residential interior and exterior door products including patio doors and folding or sliding wall systems; non-residential doors; and wood vinyl aluminum and wood composite windows. It also provides other ancillary products and services such as shower enclosures and wardrobes moldings trim boards lumber cutstocks glass staircases hardware and locks cabinets and screens as well as molded door skins and miscellaneous installation and other services. The company markets its products under the JELD-WEN brand; and various regional brands such as Swedoor DANA Corinthian Stegbar and Trend. Its customers include wholesale distributors and retailers as well as individual contractors and consumers. The company was founded in 1960 and is headquartered in Charlotte North Carolina.,United States,Innovation,Industrials
16,JNCE,"Jounce Therapeutics, Inc.",NASDAQ Global Select,16.0,"6,365,000",01/27/2017,101840000,Priced,Jounce Therapeutics Inc. a clinical-stage immunotherapy company develops therapies for the treatment of cancer. The company offers vopratelimab a clinical-stage monoclonal antibody that binds to and activates the Inducible T cell CO-Stimulator a protein on the surface of T cells found in various solid tumors which is in Phase II clinical trial for the treatment of PD-1/PD-L1 inhibitor patients with non-small cell lung cancer and urothelial cancer. It is also developing JTX-4014 a clinical-stage anti-PD-1 antibody for combination therapy; and JTX-1811 a monoclonal antibody designed to selectively deplete T regulatory cells in the tumor microenvironment that is in the IND-enabling phase. The company's product candidate includes JTX-8064 an antibody that binds to leukocyte immunoglobulin like receptor B2 which is a cell surface receptor expressed on macrophages. Jounce Therapeutics Inc. was incorporated in 2012 and is headquartered in Cambridge Massachusetts.,United States,Research,Healthcare
17,REVG,"REV Group, Inc.",NYSE,22.0,"12,500,000",01/27/2017,275000000,Priced,REV Group Inc. designs manufactures and distributes specialty vehicles in the United States Canada Europe Africa the Middle East Latin America the Caribbean and internationally. It operates through three segments: Fire & Emergency Commercial and Recreation. The Fire & Emergency segment offers a range of fire apparatus and ambulance products for municipalities and private contractors. This segment sells its products primarily under the Emergency One Kovatch Mobile Equipment and Ferrara brands; and ambulances under the American Emergency Vehicles Horton Emergency Vehicles Leader Emergency Vehicles Marque McCoy Miller Road Rescue Wheeled Coach and Frontline brands. The Commercial segment provides transit and shuttle buses school buses terminal trucks cut-away and luxury buses mobility vans industrial sweepers and other specialty vehicles. The segment sells its products directly as well as through dealers primarily under the Collins Bus Goshen Coach ENC ElDorado National Krystal Coach Federal Coach Champion and World Trans brands to governmental bodies including municipalities such as fire departments school districts hospitals and the U.S. federal government as well as transit and shuttle bus markets. The Recreation segment offers motorized and towable recreational vehicles and luxury coaches. This segment sells its vehicles under the American Coach Fleetwood RV Monaco Coach Holiday Rambler Renegade Midwest and Lance brands through dealers. The company also provides aftermarket parts and services. The company was formerly known as Allied Specialty Vehicles Inc. and changed its name to REV Group Inc. in November 2015. The company is headquartered in Milwaukee Wisconsin.,United States,Misc.,Industrials
18,LAUR,"LAUREATE EDUCATION, INC.",NASDAQ Global Select,14.0,"35,000,000",02/01/2017,490000000,Priced,Laureate Education Inc. together with its subsidiaries provides higher education programs and services to students through a network of universities and higher education institutions. It offers a range of undergraduate and graduate degree programs primarily in the areas of business and management medicine and health sciences and engineering and information technology through campus-based online and hybrid programs. The company also operates online institutions that offer professional degree programs primarily for the working adults with undergraduate and graduate degree programs. It provides its services in Brazil Mexico Chile Peru Australia China New Zealand the United Kingdom and the United States. The company was formerly known as Sylvan Learning Systems Inc. and changed its name to Laureate Education Inc. in May 2004. The company was founded in 1989 and is headquartered in Baltimore Maryland.,United States,Productivity,Consumer Defensive
19,INVH,Invitation Homes Inc.,NYSE,20.0,"77,000,000",02/01/2017,1540000000,Priced,"Invitation Homes is the nation's premier single-family home leasing company meeting changing lifestyle demands by providing access to high-quality updated homes with valued features such as close proximity to jobs and access to good schools. The company's mission ""Together with you we make a house a home"" reflects its commitment to providing homes where individuals and families can thrive and high-touch service that continuously enhances residents' living experiences.",United States,Misc.,Real Estate
20,CAAP,CORPORACION AMERICA AIRPORTS S.A.,NYSE,17.0,"28,571,429",02/01/2018,485714293,Priced,Corporación América Airports S.A. through its subsidiaries engages in the acquisition development and operation of airport concessions. It operates 52 airports in Latin America Europe and Eurasia. The company was formerly knwona as A.C.I. Airports International S.à r.l. The company was founded in 1998 and is based in Luxembourg City Luxembourg. Corporación América Airports S.A. is a subsidiary of A.C.I. Airports S.à r.l.,Luxembourg,Search,Industrials
21,HUD,Hudson Ltd.,NYSE,19.0,"39,417,765",02/01/2018,748937535,Priced,Hudson Ltd. operates as a travel retail company in the United States and Canada. It operates travel essentials and convenience stores bookstores duty-free stores proprietary and branded specialty stores electronics stores and quick-service food and beverage outlets under proprietary and third-party brands. The company offers reading materials grab-and-go snacks and beverages souvenirs electronics and travel accessories; duty-free and duty-paid perfumes and cosmetics food jewelry and watches accessories wines and spirits and tobacco; electronics and electronics accessories; and books. It also operates stand-alone quick service food and beverage outlets such as Dunkin' Donuts Jason's Deli and Pinkberry under franchise agreements. The company operates its stores under the Hudson Hudson News Hudson Bookseller and Ink by Hudson brands. As of December 31 2019 it operated approximately 1013 stores in 88 locations. The company was founded in 1987 and is based in Feltham the United Kingdom.,United Kingdom,Connectivity,Consumer Cyclical
22,VICI,VICI PROPERTIES INC.,NYSE,20.0,"60,500,000",02/01/2018,1210000000,Priced,VICI Properties is an experiential real estate investment trust that owns one of the largest portfolios of market-leading gaming hospitality and entertainment destinations including the world-renowned Caesars Palace. VICI Properties' national geographically diverse portfolio consists of 28 gaming facilities comprising over 40 million square feet and features approximately 15600 hotel rooms and more than 180 restaurants bars and nightclubs. Its properties are leased to industry leading gaming and hospitality operators including Caesars Entertainment Corporation Century Casinos Inc. Hard Rock International JACK Entertainment and Penn National Gaming Inc. VICI Properties also owns four championship golf courses and 34 acres of undeveloped land adjacent to the Las Vegas Strip. VICI Properties' strategy is to create the nation's highest quality and most productive experiential real estate portfolio.,United States,Misc.,Real Estate
23,FTSI,"FTS International, Inc.",NYSE,18.0,"19,500,000",02/02/2018,351000000,Priced,FTS International Inc. provides hydraulic fracturing services in North America. Its services enhance hydrocarbon flow from oil and natural gas wells drilled by exploration and production companies (E&P) in shale and other unconventional resource formations. It operates in five unconventional basins in the United States including the Permian Basin the SCOOP/STACK Formation the Marcellus/Utica Shale the Eagle Ford Shale and the Haynesville Shale. As of December 31 2019 it had approximately 1.4 million hydraulic horsepower across 28 fleets. The company serves E&P companies that specialize in unconventional oil and natural gas resources. FTS International Inc. was founded in 2000 and is headquartered in Fort Worth Texas.,United States,Misc.,Energy
24,CEPU,CENTRAL PUERTO S.A.,NYSE,16.5,"20,000,000",02/02/2018,330000000,Priced,Central Puerto S.A. generates and sells electric power to private and public customers in Argentina. It also produces steam. As of December 31 2018 the company owned and operated five thermal generation plants one hydroelectric generation plant and two wind farms with a total installed capacity of 3810 MW. Central Puerto S.A. was founded in 1989 and is based in Buenos Aires Argentina.,Argentina,Misc.,Utilities
25,METC,"Ramaco Resources, Inc.",NASDAQ Global Select,13.5,"6,000,000",02/03/2017,81000000,Priced,Ramaco Resources Inc. produces and sells metallurgical coal The company's development portfolio includes the Elk Creek project consisting of approximately 20552 acres of controlled mineral and 24 seams located in southern West Virginia; the Berwind coal property comprising approximately 31200 acres of controlled mineral and an area of Squire Jim seam coal deposits which is situated on the border of West Virginia and Virginia; the Knox Creek property consisting of approximately 61343 acres of controlled mineral that is located in Virginia; and the RAM Mine property comprising approximately 1567 acres of controlled mineral which is situated in southwestern Pennsylvania. The company serves blast furnace steel mills and coke plants in the United States as well as international metallurgical coal consumers. The company was founded in 2015 and is headquartered in Lexington Kentucky.,United States,Misc.,Basic Materials
26,KRP,"Kimbell Royalty Partners, LP",NYSE,18.0,"5,000,000",02/03/2017,90000000,Priced,Kimbell Royalty Partners LP acquires and owns mineral and royalty interests in oil and natural gas properties in the United States. As of December 31 2019 the company owned mineral and royalty interests in approximately 8.9 million gross acres and overriding royalty interests in approximately 4.6 million gross acres. Its mineral and royalty interests are located in 28 states and include ownership in approximately 94000 gross producing wells including approximately 40000 wells in the Permian Basin. Kimbell Royalty GP LLC serves as the general partner of the company. Kimbell Royalty Partners LP was founded in 2013 and is based in Fort Worth Texas.,United States,Misc.,Energy
27,ALEC,"Alector, Inc.",NASDAQ Global Select,19.0,"9,250,000",02/07/2019,175750000,Priced,Alector Inc. a clinical stage biopharmaceutical company develops therapies for the treatment of neurodegeneration diseases. Its products include AL001 a humanized recombinant monoclonal antibody which is in phase II clinical trial for the treatment of frontotemporal dementia disease; and AL101 that is in Phase I clinical trial for the treatment of neurodegenerative diseases including Alzheimer's and Parkinson's diseases. The company also offers AL002 and AL003 which are in phase 1b clinical trial for the treatment of Alzheimer's disease. In addition it has 10 programs under research and development stage. The company has a collaboration agreement with Adimab LLC for the research and development of antibodies. Alector Inc. was founded in 2013 and is headquartered in South San Francisco California.,United States,Research,Healthcare
28,VCTR,"Victory Capital Holdings, Inc.",NASDAQ Global Select,13.0,"11,700,000",02/08/2018,152100000,Priced,Victory Capital Holdings Inc. together with its subsidiaries operates as an independent investment management company in the United States. It offers investment advisory fund administration and distribution services through broker-dealers retirement platforms and registered investment advisor networks. As of December 31 2018 its franchises and solutions platform managed a set of 71 investment strategies for a range of institutional and retail clients. The company was founded in 2013 and is headquartered in Brooklyn Ohio.,United States,Business,Financial Services
29,WHD,"Cactus, Inc.",NYSE,19.0,"23,000,000",02/08/2018,437000000,Priced,Cactus Inc. designs manufactures sells and rents a range of wellheads and pressure control equipment. The company's principal products include Cactus SafeDrill wellhead systems Cactus SafeLink systems frac stacks zipper manifolds and production trees. It also provides field services such as 24-hour service crews to assist with the installation maintenance repair and safe handling of the wellhead and pressure control equipment. The company sells or rents its products for onshore unconventional oil and gas wells that are utilized during the drilling completion and production phases of its customers' wells. It operates 14 service centers in the United States as well as 3 service centers in Eastern Australia. Cactus Inc. was founded in 2011 and is headquartered in Houston Texas.,United States,Misc.,Energy
30,HMI,Huami Corp,NYSE,11.0,"10,000,000",02/08/2018,110000000,Priced,Huami Corporation a biometric and activity data-driven company develops manufactures and sells smart wearable technological devices in the People's Republic of China. It operates through two segments Xiaomi Wearable Products and Self-Branded Products and Others. The company offers smart bands watches and scales; and a range of accessories including bands watch straps earphones sportswear home gym treadmill etc. under the Xiaomi and Amazfit brands. It provides charts and graphs to display analysis of the activity and biometric data collected from users through its Mi Fit and Amazfit mobile apps. Huami Corporation has strategic collaborations with Timex Group to develop smart watches; and AliveCor Inc. to deliver a medical functionality to wearable devices. The company was founded in 2013 and is headquartered in Hefei the People's Republic of China.,China,Devices,Technology
31,GOSS,"Gossamer Bio, Inc.",NASDAQ Global Select,16.0,"17,250,000",02/08/2019,276000000,Priced,Gossamer Bio Inc. a clinical-stage biopharmaceutical company focuses on discovering acquiring developing and commercializing therapeutics in the disease areas of immunology inflammation and oncology in the United States. It is developing GB001 an oral antagonist of prostaglandin D2 receptor 2 which is in Phase IIb clinical trial for the treatment of moderate-to-severe eosinophilic asthma; in Phase II clinical trial to treat patients with chronic rhinosinusitis both with and without nasal polyps; and in translational Phase 2 clinical trial in patients with chronic spontaneous urticarial. The company is also developing GB002 an orally inhaled small molecule selective platelet-derived growth factor receptor kinase inhibitor in Phase Ib clinical trial for the treatment of pulmonary arterial hypertension; GB004 a novel gut-targeted oral small molecule in Phase Ib clinical trial for the treatment of inflammatory bowel disease including ulcerative colitis and Crohn's disease; and GB1275 an oral small molecule CD11b modulator in Phase 1/2 clinical trial for the treatment of selected solid tumor types. It has license agreements with Pulmokine Inc. to develop and commercialize GB002 and certain backup compounds; and Aerpio Pharmaceuticals Inc. to develop and commercialize GB004 and related compounds. The company was formerly known as FSG Bio Inc. and changed its name to Gossamer Bio Inc. in 2017. Gossamer Bio Inc. was founded in 2015 and is headquartered in San Diego California.,United States,Research,Healthcare
32,HARP,"Harpoon Therapeutics, Inc.",NASDAQ Global Select,14.0,"5,400,000",02/08/2019,75600000,Priced,Harpoon Therapeutics Inc. a clinical-stage immunotherapy company engages in the development of a novel class of T cell engagers that harness the power of the body's immune system to treat patients suffering from cancer and other diseases in the United States. The company's lead TriTAC product candidate is HPN424 that is in Phase I clinical trial for the treatment of metastatic castration-resistant prostate cancer. It also develops HPN536 which is in Phase I/IIa clinical trial for the treatment of ovarian cancer and other MSLN-expressing tumors; HPN217 for the treatment of multiple myeloma; and HPN328 for the treatment of SCLC. The company has a collaboration agreement with AbbVie Biotechnology Ltd. Harpoon Therapeutics Inc. was founded in 2015 and is headquartered in South San Francisco California.,United States,Research,Healthcare
33,RMG,RMG Acquisition Corp.,NYSE,10.0,"20,000,000",02/08/2019,200000000,Priced,RMG Acquisition Corp. does not have significant operations. It intends to identify acquire and operate a business in the diversified resources and industrial materials sectors including the chemicals energy services and alternatives environmental services metals and power sectors. The company was founded in 2018 and is based in New York New York.,United States,Misc.,Financial Services
34,QES,Quintana Energy Services Inc.,NYSE,10.0,"9,259,259",02/09/2018,92592590,Priced,Quintana Energy Services Inc. provides oilfield services to onshore oil and natural gas exploration and production companies operating in conventional and unconventional plays in the United States. The company operates in four segments: Directional Drilling Pressure Pumping Pressure Control and Wireline. The Directional Drilling segment provides directional horizontal under balanced and measurement-while-drilling services as well as rental tools and support services. The Pressure Pumping segment provides hydraulic fracturing stimulation services cementing and acidizing services for the completion production and maintenance of oil and gas wells. As of December 31 2019 this segment had a pressure pumping fleet of 253150 hydraulic horsepower. The Pressure Control segment offers coiled tubing rig-assisted snubbing fluid pumping nitrogen well control and other pressure control related services to support completion and workover operations. This segment had a fleet of 24 coiled tubing 36 rig-assisted snubbing and 24 nitrogen pumping units. The Wireline segment offers pump-down services for setting plugs between hydraulic fracturing stages as well as the deployment of perforation equipment in connection with plug-and-perf operations. This segment also provides cased-hole production logging injection profiling stimulation performance evaluation and water break-through identification services; and industrial logging services for cavern storage and injection wells. It owned 33 wireline units. Quintana Energy Services Inc. was founded in 2017 and is headquartered in Houston Texas.,United States,Misc.,Energy
35,CLPR,Clipper Realty Inc.,NYSE,13.5,"5,700,000",02/10/2017,76950000,Priced,Clipper Realty Inc. (NYSE: CLPR) is a self-administered and self-managed real estate company that acquires owns manages operates and repositions multifamily residential and commercial properties in the New York metropolitan area with a portfolio in Manhattan and Brooklyn.,United States,Misc.,Real Estate
36,FBM,"Foundation Building Materials, Inc.",NYSE,14.0,"12,800,000",02/10/2017,179200000,Priced,Foundation Building Materials Inc. distributes building products in the United States and Canada. It offers wallboard suspended ceiling system and metal framing products. The company also provides complementary and other products tools and accessories such as wallboard accessories stucco and finishing systems safety accessories fasteners insulations doors and roofing products. It serves its products to commercial residential and other specialty contractors. The company was founded in 2011 and is headquartered in Santa Ana California. Foundation Building Materials Inc. is a subsidiary of Lone Star Fund IX (U.S.) L.P.,United States,Misc.,Industrials
37,LHC,Leo Holdings Corp.,NYSE,10.0,"20,000,000",02/13/2018,200000000,Priced,Leo Holdings Corp. does not have significant operations. It intends to acquire assets and businesses through a merger capital stock exchange asset acquisition stock purchase reorganization or business combination. The company was founded in 2017 and is based in London the United Kingdom.,United Kingdom,Misc.,Financial Services
38,TCRR,TCR2 THERAPEUTICS INC.,NASDAQ Global Select,15.0,"5,000,000",02/14/2019,75000000,Priced,TCR2 Therapeutics Inc. a clinical-stage immunotherapy company develops novel T cell receptor therapies for patients suffering from cancer. The company's lead product candidates include TC-210 mono TCR Fusion Construct T cells (TRuC-T cells) targeting mesothelin positive solid tumors which initiated in phase I/II clinical trial for the treatment of non-small cell lung cancer (NSCLC) ovarian cancer malignant pleural/peritoneal mesothelioma and cholangiocarcinoma; and TC-110 a TRuC-T cell targeting CD19-positive B-Cell hematological malignancies. Its product candidates in pipeline focuses on adult acute lymphoblastic leukemia diffuse large B-cell lymphoma and follicular lymphoma areas. The company was formerly known as TCR2 Inc. and changed its name to TCR2 Therapeutics Inc. in November 2016. TCR2 Therapeutics Inc. was founded in 2015 and is headquartered in Cambridge Massachusetts.,United States,Research,Healthcare
