Country,Actual Country
777 Taylor StreetSuite 810Fort Worth TX 76102United States817 945 9700http://www.kimbellrp.com,United States
131 Oyster Point BoulevardSuite 600South San Francisco CA 94080United States415 231 5660http://www.alector.com,United States
4900 Tiedeman Road4th FloorBrooklyn OH 44144United States216-898-2400http://www.vcm.com,United States
920 Memorial City WaySuite 300Houston TX 77024United States713 626 8800http://www.cactuswhd.com,United States
Building H8No. 2800 Chuangxin RoadHefei 230088China86 551 6583 7200http://www.huami.com,China
3013 Science Park RoadSuite 200San Diego CA 92121United States858 684 1300http://www.gossamerbio.com,United States
4000 Shoreline CourtSuite 250South San Francisco CA 94080United States650 443 7400http://www.harpoontx.com,United States
1411 Broadway16th FloorNew York NY 10018United States212 220 9503http://www.rmgacquisition.com,United States
1415 Louisiana StreetSuite 2900Houston TX 77002United States832 518 4094http://quintanaenergyservices.com,United States
4611 12th AvenueSuite 1LBrooklyn NY 11219United States718-438-2804http://www.clipperrealty.com,United States
2520 Red Hill AvenueSanta Ana CA 92705United States714 380 3127http://www.fbmsales.com,United States
21 Grosvenor PlaceLondon SW1X 7HFUnited Kingdom44 20 7201 2200,United Kingdom
100 Binney StreetSuite 710Cambridge MA 02142United States617 949 5200http://www.tcr2.com,United States
65 Hayden AvenueLexington MA 02421United States617 674 9000http://www.kaleido.com,United States
5100 W. 115th PlaceLeawood KS 66211United States913 981 1020http://www.tortoisespac.com,United States
One Presidential Boulevard4th FloorBala Cynwyd PA 19004United States610-934-2222http://www.hamiltonlane.com,United States
2772 Donald Douglas Loop NorthSanta Monica CA 90405United States310-399-3339http://www.snap.com,United States
5403 Betsy Ross DriveSanta Clara CA 95054United States510 279 4262http://www.shockwavemedical.com,United States
4 Batterymarch ParkQuincy MA 02169United States617-376-4300http://www.jjill.com,United States
3800 American Boulevard WestSuite 100Bloomington MN 55431United States952-893-6868http://www.bridgewaterbankmn.com,United States
56 rue Charles MartelLuxembourg City 2134Luxembourg352 26 258 555http://www.ardaghgroup.com,Luxembourg
3928 Point Eden WayHayward CA 94545United States510 694 6200http://www.arcusbio.com,United States
405 Lexington Avenue48th FloorNew York NY 10174United States212 503 2855http://www.trineacquisitioncorp.com,United States
120 Holger WaySan Jose CA 95134United States408-533-0288http://www.zscaler.com,United States
Building B1706 South MidkiffMidland TX 79701United States432-688-0012http://www.propetroservices.com,United States
Grandyvic BuildingNo. 1 Building 18th Floor No. 16 Taiyanggong Middle Road Chaoyang DistrictBeijing 100020China86 10 5621 6660http://www.itiger.com,China
1155 Battery StreetSan Francisco CA 94111United States415-501-6000http://www.levistrauss.com,United States
1800 Owens StreetSan Francisco CA 94158United States415 857 6800http://www.dropbox.com,United States
Building 4-6Chaolai Science Park No. 36 Chuangyuan Road Chaoyang DistrictBeijing 100012China86 10 5241 3738http://www.sunlands.com,China
3345 Michelson DriveSuite 400Irvine CA 92612United States888 836 4274http://www.alteryx.com,United States
2451 Hongqiao RoadChangning DistrictShanghai 200335China86 21 3617 4886http://www.998.com,China
Parc EurasantE885 Avenue EugEne AvinEeLoos 59120France33 3 20 16 40 00http://www.genfit.com,France
165 West Guangfu RoadPutuo DistrictShanghaiChina86 21 5255 9339http://www.onesmart.investorroom.com,China
Building 3Guozheng Center No. 485 Zhengli Road Yangpu DistrictShanghai 200433China86 21 2509 9255http://www.bilibili.com,China
One Patriots ParkBedford MA 01730United States781 301 7277http://www.homologymedicines.com,United States
Dibrell BuildingSuite A-100 302 East Pettigrew StreetDurham NC 27701United States919-314-5512http://www.precisionbiosciences.com,United States
200 Cambridge Park DriveSuite 3100Cambridge MA 02140United States617 945 5576http://www.unumrx.com,United States
185 Berry StreetSuite 5000San Francisco CA 94107United States844 250 2773http://www.lyft.com,United States
Regeringsgatan 19Stockholm 111 53Swedenhttp://www.spotify.com,Sweden
Building No. 2Floor 8-12 Hangzhou Lvgu Innovation CenterHangzhouChina86 571 2882 5222http://www.ruhnn.com,China
333 Oyster Point BoulevardSouth San Francisco CA 94080United States650 243 5555http://www.ngmbio.com,United States
1177 Avenue of the AmericasNew York NY 10036United States646-430-6000http://www.tradeweb.com,United States
767 Fifth Avenue46th Floor Suite 4600New York NY 10153United States212 891 2700http://www.replayacquisition.com,United States
1501 McKinney StreetHouston TX 77010United States713-496-4200http://www.hessmidstream.com,United States
3101 South Packerland DriveGreen Bay WI 54313United States920 592 2000http://www.schneider.com,United States
4150 International PlazaSuite 300Fort Worth TX 76109United States817-928-1500http://www.elevate.com,United States
100 First StreetSuite 600San Francisco CA 94105United States888 722 7871http://www.okta.com,United States
13211 Merriman RoadLivonia MI 48150-1826United States248 449 6700http://www.altaequipment.com,United States
5 HaShalom RoadToHa TowerTel Aviv 6789205Israel972 3 612 8118http://www.tufin.com,Israel
600 Townsend StreetSuite 200San Francisco CA 94103United States844 800 3889http://www.pagerduty.com,United States
101 Redwood Shores ParkwayRedwood City CA 94065United States888 976 9056http://www.zuora.com,United States
Charlottenstrasse 4Berlin 10969Germany49 30 398 20 34 51http://group.jumia.com,Germany
4242 Campus Point CourtSuite 500San Diego CA 92121United States858-412-8400http://www.tocagen.com,United States
2800 Post Oak BoulevardSuite 3800Houston TX 77056United States713-871-4000http://www.cadencebank.com,United States
16243 Highway 216Brookwood AL 35444United States205-554-6150http://warriormetcoal.com,United States
1 Madison Avenue5th FloorNew York NY 10010United States212 994 3900http://www.yext.com,United States
7979 Ivanhoe AvenueSuite 500La Jolla CA 92037United States619-567-5290http://www.palomarspecialty.com,United States
10628 Science Center DriveSuite 200San Diego CA 92121United States858 926 5251http://www.tptherapeutics.com,United States
350 Fifth Avenue72nd Floor Suite 7240New York NY 10118United States431 890 6360http://www.hookipapharma.com,United States
5914 West Courtyard DriveSuite 150Austin TX 78730United States512 220 6350http://www.brighamminerals.net,United States
505 Brannan StreetSan Francisco CA 94107United States415-762-7100http://www.pinterest.com,United States
55 Almaden Boulevard6th FloorSan Jose CA 95113United States888 799 9666http://www.zoom.us,United States
982 Keynote CircleBrooklyn Heights OH 44131United States216-676-2000http://www.graftech.com,United States
32991 Hamilton CourtFarmington Hills MI 48334United States248-737-0300http://www.levelonebank.com,United States
1223 West Loop SouthSuite 1400Houston TX 77027United States713 235 9500http://www.selectenergyservices.com,United States
5408 NE 88th StreetBuilding EVancouver WA 98665United States360 566 4460http://www.nlight.net,United States
3311 East Old Shakopee RoadMinneapolis MN 55425-1640United States952 853 8100http://www.ceridian.com,United States
2500 Windy Ridge Parkway SEAtlanta GA 30339United States404-471-1634http://www.flooranddecor.com,United States
221 Main StreetSuite 1550San Francisco CA 94105United States415 489 4940http://www.docusign.com,United States
Building 4Suite 4500 1500 Solana BoulevardWestlake TX 76262United States214-838-5500http://www.gooseheadinsurance.com,United States
10500 NE 8th StreetSuite 1300Bellevue WA 98004United States844 324 2360http://www.smartsheet.com,United States
395 Page Mill RoadPalo Alto CA 94306United States650 362 0488http://www.cloudera.com,United States
1930 West Rio Salado ParkwayTempe AZ 85281United States480 719 8809http://www.carvana.com,United States
31910 Del Obispo StreetSuite 200San Juan Capistrano CA 92675United States949-226-5700http://www.emeraldx.com,United States
19350 State Highway 249Suite 600Houston TX 77070United States281 453 2222http://www.ncsmultistage.com,United States
Building D BenQ Plaza2nd Floor 207 Songhong Road Changning DistrictShanghai 200335China86 21 6032 5999http://ir.crfchina.com/index.html,China
1385 West 8th AvenueSuite 540Vancouver BC V6H 3V9Canada604-678-1388http://www.zymeworks.com,Canada
Simmons Bank TrusteePO Box 470727Fort Worth TX 76147United States855 588 7839http://www.permrock.com,United States
119 Standard StreetEl Segundo CA 90245United States866 756 4112http://www.beyondmeat.com,United States
5500 Wayzata BoulevardSuite 1600Golden Valley MN 55416United States844-672-4357http://www.inspiresleep.com,United States
3280 Bayshore BoulevardSuite 100Brisbane CA 94005United States650-416-1192http://www.unitybiotechnology.com,United States
1412 Centre Court DriveSuite 101Alexandria LA 71301United States318-561-5028http://www.redriverbank.net,United States
6601 Bermuda RoadLas Vegas NV 89119United States702 897 7150http://www.sciplay.com,United States
215 Church StreetNew Haven CT 06510United States203 404 0410http://www.biohavenpharma.com,United States
290 Healthwest DriveSuite 2Dothan AL 36303United States334-673-9763http://www.constructionpartners.net,United States
1836 Spirit of Texas WayConroe TX 77301United States936-521-1836http://www.sotb.com,United States
500 Ygnacio Valley RoadSuite 200Walnut Creek CA 94596United States925-476-1800http://www.unitedbusinessbank.com,United States
9 West 57th StreetSuite 4200New York NY 10019United States212-750-8300http://www.kkrreit.com,United States
Nine Greenway PlazaSuite 1300Houston TX 77046United States713 842 9050http://www.magnoliaoilgas.com,United States
1460 BroadwaySuite 15044New York NY 10036United States646-661-7661http://www.ovidrx.com,United States
5875 Trinity ParkwaySuite 300Centreville VA 20120United States703 988 8500http://www.parsons.com,United States
16475 Dallas ParkwaySuite 600Addison TX 75001United States888-572-9881http://www.gnty.com,United States
620 Memorial DriveSuite 200 WestCambridge MA 02139United States617-577-0300http://www.evelobio.com,United States
500 South Service Road EastRuston LA 71270United States318-255-2222http://www.origin.bank,United States
5219 City Bank ParkwayLubbock TX 79407United States806-792-7101http://www.spfi.bank,United States
9/10 Godovikova StreetMoscow 129085Russia7 4959 74 64 27http://www.hh.ru,Russia
715 South StreetMayville WI 53050United States920 387 4500http://www.mecinc.com,United States
1111 Dr. Frederik-Philips BoulevardSuite 420Montreal QC H4M 2X6Canada514 336 0444http://www.milestonepharma.com,Canada
9000 Virginia Manor RoadSuite 200Beltsville MD 20705United States240 399 4900http://www.nextcure.com,United States
269 East Grand AvenueSouth San Francisco CA 94080United States415-910-5717http://www.cortexyme.com,United States
15131 Alton Parkway4th FloorIrvine CA 92618United States949-349-1000http://www.fivepoint.com,United States
1290 Avenue Of The AmericasNew York NY 10104United States212-554-1234http://www.equitableholdings.com,United States
Building No. 126th Floor Youyou Century Plaza 428 South Yanggao Road Pudong New AreaShanghai 200122China86 21 6082 8732http://www.jiayinfintech.cn,China
1455 Market Street4th FloorSan Francisco CA 94103United States415-612-8582http://www.uber.com,United States
Building A3 E-Park280 Hanxi Road Panyu DistrictGuangzhou 511446China86 20 2290 7888http://www.huya.com,China
9811 Katy FreewaySuite 700Houston TX 77024United States281-501-3070http://www.solarisoilfield.com,United States
800-A Beaty StreetDavidson NC 28036United States414-212-4700http://www.irco.com,United States
75 Colombia AvenueCedarhurst NY 11516United States516-232-8900http://www.postalrealtytrust.com,United States
700 Park Offices DriveSuite 200Research Triangle Park NC 27709United States919 213 9835http://www.g1therapeutics.com,United States
182 North Union AvenueFarmington UT 84025United States801 784 9007http://www.pluralsight.com,United States
475 Brannan StreetSuite 300San Francisco CA 94107United States844 432 7859http://www.fastly.com,United States
Block A Tefang Portman Tower17th Floor No. 81 Zhanhong Road Siming DistrictXiamen 361008China86 59 2338 6666http://www.luckincoffee.com,China
Radnor Corporate CenterBuilding One Suite 200 100 Matsonford RoadRadnor PA 19087United States610 386 1700http://www.avantorsciences.com,United States
Willemstraat 5Breda 4811 AHNetherlands31 763 030 488http://www.argenx.com,Netherlands
No.1 Country Garden RoadBeijiao Town Shunde DistrictFoshan 528300China86 75 7668 32507http://www.brightscholar.com,China
South TowerSuite 950 Ten Glenlake ParkwayAtlanta GA 30328United States516-479-9000http://www.evopayments.com,United States
7000 Shoreline CourtSuite 350South San Francisco CA 94080United States650 443 6209http://www.ideayabio.com,United States
500 West Texas AvenueSuite 1200Midland TX 79701United States432 221 7400http://www.rattlermidstream.com,United States
Babraham Research CampusBuilding 900Cambridge CB22 3ATUnited Kingdom44 1223 261 503http://www.bicycletherapeutics.com,United Kingdom
39870 Eureka DriveNewark CA 94560United States510-623-1231http://www.smartm.com,United States
Clarendon House2 Church StreetHamilton HM 11Bermuda808 189 6257http://www.kiniksa.com,Bermuda
620 Memorial Drive2nd FloorCambridge MA 02139United States857 259 3860http://scholarrock.com,United States
5565 Glenridge ConnectorSuite 700Atlanta GA 30342United States678-264-6105http://www.greensky.com,United States
7887 East Belleview AvenueSuite 1000Englewood CO 80111United States720-479-3500http://www.wowway.com,United States
77 Water Street8th FloorNew York NY 10005United States646 229 7549http://www.tridentacquisitions.com,United States
1731 Embarcadero RoadSuite 200Palo Alto CA 94303United States650 276 7040http://www.gigcapitalglobal.com,United States
Tower C Beyondsoft Building7 East Zone 10 Xibeiwang East Road Haidian DistrictBeijing 100193China86 10 8282 6826http://www.baijiahulian.com,China
12889 Moore StreetCerritos CA 90703United States562 677 9480http://www.revolve.com,United States
430 East 29th Street14th FloorNew York NY 10016United States646 860 7985http://www.meiragtx.com,United States
1050 Dearborn DriveColumbus OH 43085United States614-888-0246http://www.vertiv.com,United States
18 West 18th StreetNew York NY 10011United States212 715 3880http://farpoint.ventures/,United States
150 Mathilda PlaceSuite 300Sunnyvale CA 94086United States888 512 8906http://www.crowdstrike.com,United States
8 Eliezer Kaplan StreetTel Aviv 6473409Israel972 7 222 80910http://www.fiverr.com,Israel
Conventus BuildingSuite 600 1001 Main StreetBuffalo NY 14203United States716-427-2950http://www.athenex.com,United States
12601 Plantside DriveLouisville KY 40299United States502 245 1353http://www.charah.com,United States
4080 Jenkins RoadChattanooga TN 37421United States423 510 3000http://www.usxpress.com,United States
1855 Griffin RoadSuite B-428Dania Beach FL 33004United States786 320 7111http://www.chewy.com,United States
Chuangfu MansionFloor 16 No. 18 Danling Street Haidian DistrictBeijing 100080China86 10 8260 5578,China
255 South King StreetSuite 1800Seattle WA 98104United States206 826 4900http://www.avalara.com,United States
3 West Paces Ferry RoadSuite 200Atlanta GA 30305United States404 504 7472http://www.repay.com,United States
45 Wiggins AvenueBedford MA 01730United States781-430-8200http://www.stoketherapeutics.com,United States
101 Montgomery StreetSuite 2000San Francisco CA 94104United States415 887 1471http://www.eidostx.com,United States
5650 Hollis StreetEmeryVille CA 94608United States510 845 1999http://www.groceryoutlet.com,United States
450 East Jamie CourtSouth San Francisco CA 94080United States650 595 2595http://www.atreca.com,United States
170 Harbor Way3rd FloorSouth San Francisco CA 94080United States650 487 6488http://www.akerotx.com,United States
500 Howard StreetSan Francisco CA 94105United States855-980-5920http://slack.com,United States
909 Davis StreetSuite 600Evanston IL 60201United States847-871-0377http://www.aptinyx.com,United States
40 Burton Hills BoulevardSuite 415Nashville TN 37215United States615-465-4487http://www.i3verticals.com,United States
4000 Shoreline CourtSuite 300South San Francisco CA 94080United States650-822-5600http://www.kezarlifesciences.com,United States
902 Carnegie Center BoulevardSuite 520Princeton NJ 08540United States609-436-0619http://www.essentialproperties.com,United States
Building 300Suite 201 One Kendall SquareCambridge MA 02139United States617-914-8420http://www.avrobio.com,United States
180 North LaSalle StreetSuite 1810Chicago IL 60601United States844-445-5704http://www.xerispharma.com,United States
1114 Avenue of the Americas39th FloorNew York NY 10036United States212-930-9400http://www.safeholdinc.com,United States
1 Court Square WestLong Island City NY 11101United States516-803-2300http://www.alticeusa.com,United States
Forest House58 Wood Lane White CityLondon W12 7RZUnited Kingdom44 20 3829 6230http://www.autolus.com,United Kingdom
3 Bryant ParkSuite 2400ANew York NY 10036United States212-364-3200http://www.gpmortgagetrust.com,United States
Avenida Doutora Ruth Cardoso 72217Âº AndarSao Paulo SP 05425-902Brazil55 11 2103 2400http://www.linx.com.br,Brazil
LSHM Center Tower E2nd-5th Floor No. 8 Guangshun South Avenue Chaoyang DistrictBeijing 100102China86 21 1010 6088http://www.xin.com,China
1551 Eastlake Avenue EastSuite 200Seattle WA 98102United States206 659 0067http://www.adaptivebiotech.com,United States
421 Kipling StreetPalo Alto CA 94301United States650 391 9740http://bridgebio.com,United States
640 Fifth Avenue12th FloorNew York NY 10019United States212 380 7500http://churchillcapitalcorp.com,United States
3055 Lebanon PikeSuite 1000Nashville TN 37214United States615 932 3000http://www.changehealthcare.com,United States
840 Memorial DriveCambridge MA 02139United States617 498 0020http://www.mersana.com,United States
20W267 101st StreetSuite CLemont IL 60439United States630 280 6144http://www.accelentertainment.com,United States
25 Research DriveWestborough MA 01581United States774 512 7400http://www.bjs.com,United States
980 Jolly RoadSuite 300Blue Bell PA 19422United States484-567-7204http://www.brightview.com,United States
B7 Building 1st FloorHengtong Business Park 10 Jiuxianqiao Road Chaoyang DistrictBeijing 100015China86 10 5927 7000http://www.nfh.com.cn,China
29 Hartwell AvenueLexington MA 02421United States617-945-7361http://www.translate.bio,United States
7000 Shoreline CourtSuite 201South San Francisco CA 94080United States415 429 7800http://www.tricida.com,United States
55 Francisco Street6th floorSan Francisco CA 94133United States855-435-5893http://www.therealreal.com,United States
28 Liberty StreetNew York NY 10005United States347 719 4312http://www.blueapron.com,United States
180 North LaSalle StreetSuite 300Chicago IL 60601United States773-244-7000http://www.bylinebancorp.com,United States
The Chrysler Building405 Lexington AvenueNew York NY 10174United States212 818 8800http://www.pivotalic.com,United States
108 Robinson Road No. 10-00Singapore 068900Singapore65 6438 1080http://www.schealthcorp.com,Singapore
22 Boston Wharf Road9th FloorBoston MA 02210United States617 207 0202http://www.akceatx.com,United States
Optical Valley Software ParkBuilding F4 Guanshan Avenue Donghu Development AreaWuhan 430073China86 27 8775 0710http://www.douyu.com,China
Building No. 210222 Barnes Canyon RoadSan Diego CA 92121United States858 450 6464http://www.crinetics.com,United States
5415 Evergreen WayEverett WA 98203United States425-257-9000http://www.coastalbank.com,United States
399 Binney StreetSuite 300Cambridge MA 02139United States617-679-9600http://www.rubiustx.com,United States
333 South Grand Avenue28th FloorLos Angeles CA 90071United States213 830 6300http://www.oaktreeacquisitioncorp.com,United States
432 Park Avenue South12th Floor Between 29th & 30th StreetsNew York NY 10016United States888 654 7473http://www.phreesia.com,United States
1655 Grant Street10th FloorConcord CA 94520United States925-521-2200http://www.assetmark.com,United States
Kalvebod Brygge 43Copenhagen 1560Denmark45 70 20 27 28http://www.genmab.com,Denmark
215 First StreetSuite 200Cambridge MA 02142United States617 714 0555http://www.constellationpharma.com,United States
1100 Maughan RoadNanaimo BC V9X IJ2Canada844-845-7291http://www.tilray.com,Canada
1900 16th StreetSuite 1200Denver CO 80202United States303-531-8100http://www.myfw.com,United States
975 Island DriveSuite 201Redwood City CA 94065United States650 597 5002http://www.allakos.com,United States
No. 119 Alameda Oscar NiemeyerRooms 502 504 1501 and 1503 Vila da SerraNova Lima MGBrazil55 31 3515 7550http://www.afya.com.br,Brazil
575 Market StreetSuite 1850San Francisco CA 94105United States650 321 3000http://www.medallia.com,United States
Torre InterbankAv. Carlos Villaran 140Lima 13Peru(511) 219-2000http://www.ifs.com.pe,Peru
490 Arsenal WaySuite 120Watertown MA 02472United States781 996 5252http://www.kalarx.com,United States
888 Seventh Avenue35th FloorNew York NY 10106United States212-601-4700http://www.tpgrefinance.com,United States
500 Unicorn Park3rd FloorWoburn MA 01801United States781 222 9600http://replimune.com,United States
923 South Bridgeway PlaceEagle ID 83616United States208 939 8900http://www.petiq.com,United States
4353 North First StreetSan Jose CA 95134United States408 543 1500http://www.bloomenergy.com,United States
412 Mount Kemble AvenueSuite 300CMorristown NJ 07960United States973-532-1900http://www.prosightspecialty.com,United States
20 East Greenway PlazaSuite 475Houston TX 77046United States281 985 9904http://www.sunnova.com,United States
3165 Millrock DriveSuite 400Salt Lake City UT 84121United States855 309 6800http://www.healthcatalyst.com,United States
150 West Evelyn AvenueSuite 150Mountain View CA 94041United States866 435 5643http://www2.livongo.com,United States
1055 Wilshire Boulevard12th FloorLos Angeles CA 90017United States213-627-9888http://www.royalbusinessbankusa.com,United States
7021 Columbia Gateway DriveSuite 500Columbia MD 21046United States410 872 0555http://www.tenable.com,United States
No. 533 Loushanguan Road28th Floor Changning DistrictShanghai 200051China86 21 5266 1300http://www.pinduoduo.com,China
875 Third Avenue28th FloorNew York NY 10022United States646 519 2456http://www.focusfinancialpartners.com,United States
16000 North Dallas ParkwaySuite 500Dallas TX 75248United States661 616 3900http://www.berrypetroleum.com,United States
10A Building 3Youyou Century Plaza 428 South Yanggao Road Pudong New AreaShanghai 200127China86 21 3183 0016http://www.cangoonline.com,China
5949 Sherry LaneSuite 1010Dallas TX 75225United States214 368 0821http://www.switchback-energy.com,United States
Calle VolcAn No. 150Floor 5 Colonia Lomas de Chapultepec AlcaldIa Miguel HidalgoMexico City DF 11000Mexico52 55 4163 9205http://www.vistaoilandgas.com,Mexico
Wanda PlazaTower B 9th Floor 93 Jianguo Road Chaoyang DistrictBeijingChina86 10 8558 8813http://www.wsg.cn,China
125 Old Broad StreetLondon EC2N 1ARUnited Kingdom44 20 7367 1000http://www.endava.com,United Kingdom
Vitaminveien 4Oslo 0485Norway47 23 69 24 00http://www.opera.com,Norway
1099 Stewart StreetSuite 600Seattle WA 98101United States206 576 8333http://www.redfin.com,United States
S.E. Pearman Building2nd Floor 9 Par-la-Ville RoadHamilton HM11Bermudahttp://www.borrdrilling.com,Bermuda
1601 Trapelo RoadSuite 116Waltham MA 02451United States781 530 1000http://www.dynatrace.com,United States
919-11 Avenue SWSuite 200Calgary AB T2R 1P3Canada403 948 5227http://www.sundialgrowers.com,Canada
614 Chapala StreetSanta Barbara CA 93103United States805-965-3001http://www.sonos.com,United States
225 West Wacker DriveSuite 3000Chicago IL 60606United States312-470-1800http://www.cushmanwakefield.com,United States
Titanium HouseHanzard Drive Wynyard ParkStockton-On-Tees TS22 5FDUnited Kingdom44 1740 608 001http://www.venatorcorp.com,United Kingdom
3030 Orchard ParkwaySan Jose CA 95134United States408 890 3900http://www.arlo.com,United States
Nexxus Building23rd Floor 41 Connaught RoadCentralHong Kong852 3163 3389http://www.amtdinc.com,Hong Kong
Tavor BuildingSha'ar Yokneam PO Box 533Yokneam 2069206Israel972 4 909 6313http://www.inmodemd.com,Israel
Sydmarken  11SOeborgCopenhagen 2860Denmark45 88 77 36 00http://www.zealandpharma.com,Denmark
1895 Mount Hope AvenueRochester NY 14620United States585 271 2700http://www.vaccinex.com,United States
3701 Wilshire BoulevardSuite 900Los Angeles CA 90010-2871United States213-210-2000http://www.paccity.net,United States
410 North 44th StreetSuite 700Phoenix AZ 85008United States602-685-4000http://www.mesa-air.com,United States
9 West 57th Street43rd FloorNew York NY 10019United States212 258 0947http://www.spartanenergyspac.com,United States
800 Gessner StreetSuite 1000Houston TX 77024United States713 935 8900http://www.rangerenergy.com,United States
11440 Tomahawk Creek ParkwayLeawood KS 66211United States913-312-6800http://www.crossfirstbank.com,United States
6714 Pointe Inverness WaySuite 220Fort Wayne IN 46804United States800 252 0043http://www.nescospecialty.com,United States
535 5th Avenue29th FloorNew York NY 10017United States212 235 0430http://www.megalithfinancial.com,United States
Building 20No. 56 AnTuo Road Anting Town Jiading DistrictShanghai 201804China86 21 6908 2018http://www.nio.com,China
6230 Stoneridge Mall RoadPleasanton CA 94588United States925 401 7300http://www.10xgenomics.com,United States
414 Union StreetNashville TN 37219United States800 848 7566http://smiledirectclub.com,United States
101 Townsend StreetSan Francisco CA 94107United States888 993 5273http://www.cloudflare.com,United States
100 Washington BoulevardStamford CT 06902United States203 883 9490http://www.springworkstx.com,United States
166 North Roadrunner ParkwaySuite 1CLas Cruces NM 88011United States575 424 2100http://www.virgingalactic.com,United States
Two Newton PlaceSuite 300 255 Washington StreetNewton MA 02458-1634United States617-796-8317http://www.trmtreit.com,United States
220 East Grand AvenueSouth San Francisco CA 94080United States650 416 7700http://www.principiabio.com,United States
XingChuang Technology Center11th Floor Block 3 5005 Shen Jiang Road Pudong New AreaShanghai 200120China86 21 6858 3790http://www.qutoutiao.net,China
1001 Noble Energy WayHouston TX 77070United States281-872-3100http://www.nblmidstream.com,United States
211 Commerce StreetSuite 300Nashville TN 37201United States615-564-1212http://www.firstbankonline.com,United States
65 Front StreetHamilton HM 12Bermuda441-299-3826http://www.bm.butterfieldgroup.com,Bermuda
325 East Middlefield RoadMountain View CA 94043United States650-965-7873http://igmbio.com,United States
Building E200 South Kraemer BoulevardBrea CA 92821-6208United States714 817 7000http://www.envistaco.com,United States
Aerospace Science and Technology Plaza7-8 Floor Block A No. 168 Haide Third Avenue Nanshan DistrictShenzhen 518067China86 75 5862 82977http://www.xiaoyinggroup.com,China
1001 17th StreetSuite 100Denver CO 80202United States303 468 2900http://www.pingidentity.com,United States
620 8th Avenue45th FloorNew York NY 10018United States866 329 4466http://www.datadoghq.com,United States
Juana Manso 999Buenos Aires C1107CBRArgentina54 11 4894 3500http://www.despegar.com.ar,Argentina
Huaxing Modern Industry Park2nd Floor Block A 18th Tangmiao Road Xihu DistrictHangzhou 310013China86 571 8899 5656http://www.best-inc.com,China
1039 NW 63rd StreetOklahoma City OK 73116United States405-810-8600http://www.bank7.com,United States
155 5th Street7th FloorSan Francisco CA 94103United States415-692-7779http://www.eventbrite.com,United States
2500 Innovation WayGreenfield IN 46140United States877 352 6261http://www.elanco.com,United States
1001 Fannin StreetSuite 1500Houston TX 77002United States281-404-9500http://www.oasismidstream.com,United States
230 Park AvenueSuite 3350New York NY 10169United States646 885 8505http://www.ymabs.com,United States
The Bower211 Old StreetLondon EC1V 9NRUnited Kingdom44 20 7549 5900http://aboutfarfetch.com,United Kingdom
1201 Demonbreun StreetSuite 700Nashville TN 37203United States615-732-6400http://www.capstarbank.com,United States
570 10th StreetOakland CA 94607United States510 778 7787http://www.elfcosmetics.com,United States
