Symbol,Company Name,Exchange,Price,Shares,Date,Offer Amount,Actions
MUDSU,HYCROFT MINING HOLDING CORP,NASDAQ Capital,10.00,"20,000,000",02/08/2018,200000000,Priced
GOSS,"Gossamer Bio, Inc.",NASDAQ Global Select,16.00,"17,250,000",02/08/2019,276000000,Priced
HARP,"Harpoon Therapeutics, Inc.",NASDAQ Global Select,14.00,"5,400,000",02/08/2019,75600000,Priced
RMG'U,RMG Acquisition Corp.,NYSE,10.00,"20,000,000",02/08/2019,200000000,Priced
CDLX,"Cardlytics, Inc.",NASDAQ Global,13.00,"5,400,000",02/09/2018,70200000,Priced
QES,Quintana Energy Services Inc.,NYSE,10.00,"9,259,259",02/09/2018,92592590,Priced
AVNU,"Avenue Financial Holdings, Inc.",Nasdaq National Market,11.00,"2,500,000",02/10/2015,27500000,Priced
CLPR,Clipper Realty Inc.,NYSE,13.50,"5,700,000",02/10/2017,76950000,Priced
FBM,"Foundation Building Materials, Inc.",NYSE,14.00,"12,800,000",02/10/2017,179200000,Priced
SACH,Sachem Capital Corp.,NYSE MKT,5.00,"2,600,000",02/10/2017,13000000,Priced
PTI,"PROTEOSTASIS THERAPEUTICS, INC.",Nasdaq National Market,8.00,"6,250,000",02/11/2016,50000000,Priced
AVXS,"AveXis, Inc.",Nasdaq National Market,20.00,"4,750,000",02/11/2016,95000000,Priced
INOV,"Inovalon Holdings, Inc.",Nasdaq National Market,27.00,"22,222,222",02/12/2015,599999994,Priced
NVTA,InVitae Corp,New York Stock Exchange,16.00,"6,350,000",02/12/2015,101600000,Priced
ANCN,Anchiano Therapeutics Ltd.,NASDAQ Capital,11.50,"2,652,174",02/12/2019,30500001,Priced
EYEG,EYEGATE PHARMACEUTICALS INC,OTCBB,6.00,"683,250",02/13/2015,4099500,Priced
FNTCU,CardConnect Corp.,Nasdaq SmallCap Market,10.00,"10,000,000",02/13/2015,100000000,Priced
BLPH,"Bellerophon Therapeutics, Inc.",Nasdaq National Market,12.00,"5,000,000",02/13/2015,60000000,Priced
AJX,Great Ajax Corp.,New York Stock Exchange,14.25,"5,000,000",02/13/2015,71250000,Priced
LHC'U,Leo Holdings Corp.,NYSE,10.00,"20,000,000",02/13/2018,200000000,Priced
IMAC,"IMAC Holdings, Inc.",NASDAQ Capital,5.13,"850,000",02/13/2019,4360500,Priced
BFRA,Biofrontera AG,NASDAQ Capital,9.88,"1,215,000",02/14/2018,12004200,Priced
MOTS,"Motus GI Holdings, Inc.",NASDAQ Capital,5.00,"3,500,000",02/14/2018,17500000,Priced
TCRR,TCR2 THERAPEUTICS INC.,NASDAQ Global Select,15.00,"5,000,000",02/14/2019,75000000,Priced
AVDR,AVEDRO INC,NASDAQ Global,14.00,"5,000,000",02/14/2019,70000000,Priced
MITO,Stealth BioTherapeutics Corp,NASDAQ Global,12.00,"6,500,000",02/15/2019,78000000,Priced
HOTH,"Hoth Therapeutics, Inc.",NASDAQ Capital,5.60,"1,250,000",02/15/2019,7000000,Priced
DFBHU,AdaptHealth Corp.,NASDAQ Capital,10.00,"25,000,000",02/16/2018,250000000,Priced
FAMI,"Farmmi, Inc.",NASDAQ Capital,4.00,"1,680,000",02/16/2018,6720000,Priced
ITEK,"ROCKET PHARMACEUTICALS, INC.",Nasdaq National Market,6.00,"6,667,000",02/18/2015,40002000,Priced
CHEKU,Check-Cap Ltd,Nasdaq SmallCap Market,6.00,"2,000,000",02/19/2015,12000000,Priced
RISE,ETF Managers Group Commodity Trust I,New York Stock Exchange,25.00,"20,000,000",02/19/2015,500000000,Priced
SOLY,"Soliton, Inc.",NASDAQ Capital,5.00,"2,172,591",02/19/2019,10862955,Priced
TONS,WisdomTree Coal Fund,New York Stock Exchange,40.47,"9,750,000",02/20/2015,394582500,Priced
ACAMU,Acamar Partners Acquisition Corp.,NASDAQ Capital,10.00,"30,000,000",02/22/2019,300000000,Priced
SRAQU,"Centennial Resource Development, Inc.",Nasdaq SmallCap Market,10.00,"45,000,000",02/24/2016,450000000,Priced
SLGG,"Super League Gaming, Inc.",NASDAQ Capital,11.00,"2,272,727",02/26/2019,24999997,Priced
INQD,Indoor Harvest Corp,OTCBB,0.50,"2,467,003",02/27/2015,1233502,Priced
LTN'U,Union Acquisition Corp.,NYSE,10.00,"10,000,000",02/28/2018,100000000,Priced
KLDO,"Kaleido Biosciences, Inc.",NASDAQ Global Select,15.00,"5,000,000",02/28/2019,75000000,Priced
SHLLU,Tortoise Acquisition Corp.,NYSE,10.00,"22,500,000",02/28/2019,225000000,Priced
DPHCU,DiamondPeak Holdings Corp.,NASDAQ Capital,10.00,"25,000,000",02/28/2019,250000000,Priced
HLNE,Hamilton Lane INC,NASDAQ Global Select,16.00,"11,875,000",03/01/2017,190000000,Priced
HCACU,Hennessy Capital Acquisition Corp IV,NASDAQ Capital,10.00,"26,100,000",03/01/2019,261000000,Priced
SNAP,Snap Inc,NYSE,17.00,"200,000,000",03/02/2017,3400000000,Priced
JSYNU,"PECK Co HOLDINGS, INC.",Nasdaq SmallCap Market,10.00,"3,900,000",03/03/2016,39000000,Priced
SNDX,Syndax Pharmaceuticals Inc,Nasdaq National Market,12.00,"4,400,000",03/03/2016,52800000,Priced
SMMT,Summit Therapeutics plc,Nasdaq National Market,9.90,"3,450,000",03/05/2015,34155000,Priced
THCBU,Tuscan Holdings Corp.,NASDAQ Capital,10.00,"24,000,000",03/05/2019,240000000,Priced
MXPT,"MaxPoint Interactive, Inc.",New York Stock Exchange,11.50,"6,500,000",03/06/2015,74750000,Priced
SWAV,"ShockWave Medical, Inc.",NASDAQ Global Select,17.00,"5,700,000",03/07/2019,96900000,Priced
BTAI,"BioXcel Therapeutics, Inc.",NASDAQ Capital,11.00,"5,454,545",03/08/2018,59999995,Priced
FHL,Futu Holdings Ltd,NASDAQ Global,12.00,"7,500,000",03/08/2019,90000000,Priced
CRSAU,Crescent Acquisition Corp,NASDAQ Capital,10.00,"25,000,000",03/08/2019,250000000,Priced
JILL,"J.Jill, Inc.",NYSE,13.00,"11,666,667",03/09/2017,151666671,Priced
BYSI,BeyondSpring Inc.,NASDAQ Capital,20.00,"174,286",03/09/2017,3485720,Priced
PSDO,"Presidio, Inc.",NASDAQ Global Select,14.00,"16,666,666",03/10/2017,233333324,Priced
MPACU,"U.S. WELL SERVICES, INC.",NASDAQ Capital,10.00,"30,000,000",03/10/2017,300000000,Priced
KLREU,Rosehill Resources Inc.,Nasdaq SmallCap Market,10.00,"8,000,000",03/11/2016,80000000,Priced
SUM,"Summit Materials, Inc.",New York Stock Exchange,18.00,"22,222,222",03/12/2015,399999996,Priced
BWB,Bridgewater Bancshares Inc,NASDAQ Global Select,11.75,"6,700,000",03/14/2018,78725000,Priced
OPESU,Opes Acquisition Corp.,NASDAQ Capital,10.00,"10,000,000",03/14/2018,100000000,Priced
ARD,Ardagh Group S.A.,NYSE,19.00,"16,200,000",03/15/2017,307800000,Priced
RCUS,"Arcus Biosciences, Inc.",NYSE,15.00,"8,000,000",03/15/2018,120000000,Priced
TRNEU,Trine Acquisition Corp.,NYSE,10.00,"26,100,000",03/15/2019,261000000,Priced
ZS,"Zscaler, Inc.",NASDAQ Global Select,16.00,"12,000,000",03/16/2018,192000000,Priced
AIHS,Senmiao Technology Ltd,NASDAQ Capital,4.00,"3,000,000",03/16/2018,12000000,Priced
TIBRU,INTERNATIONAL GENERAL INSURANCE HOLDINGS LTD,NASDAQ Capital,10.00,"15,000,000",03/16/2018,150000000,Priced
HCM,Hutchison China MediTech Ltd,Nasdaq National Market,13.50,"7,500,000",03/17/2016,101250000,Priced
PUMP,ProPetro Holding Corp.,NYSE,14.00,"25,000,000",03/17/2017,350000000,Priced
MULE,"MULESOFT, INC",NYSE,17.00,"13,000,000",03/17/2017,221000000,Priced
SENS,"Senseonics Holdings, Inc.",American Stock Exchange,2.85,"15,800,000",03/18/2016,45030000,Priced
NCOM,National Commerce Corp,Nasdaq National Market,19.50,"1,700,000",03/19/2015,33150000,Priced
STDY,SteadyMed Ltd.,Nasdaq National Market,8.50,"4,700,000",03/20/2015,39950000,Priced
DNJR,Golden Bull Ltd,NASDAQ Capital,4.00,"1,550,000",03/20/2018,6200000,Priced
TIGR,Up Fintech Holding LTD,NASDAQ Global Select,8.00,"13,000,000",03/20/2019,104000000,Priced
INSUU,Insurance Acquisition Corp.,NASDAQ Capital,10.00,"13,100,000",03/20/2019,131000000,Priced
LEVI,LEVI STRAUSS & CO,NYSE,17.00,"36,666,667",03/21/2019,623333339,Priced
TRPX,Therapix Biosciences Ltd.,NASDAQ Capital,6.00,"2,000,000",03/22/2017,12000000,Priced
BDRY,ETF Managers Group Commodity Trust I,NYSE Arca,25.00,"10,000,000",03/22/2018,250000000,Priced
CRVS,"Corvus Pharmaceuticals, Inc.",Nasdaq National Market,15.00,"4,700,000",03/23/2016,70500000,Priced
VLRX,Valeritas Holdings Inc.,NASDAQ Capital,10.00,"5,250,000",03/23/2017,52500000,Priced
DBX,"DROPBOX, INC.",NASDAQ Global Select,21.00,"36,000,000",03/23/2018,756000000,Priced
STG,Sunlands Technology Group,NYSE,11.50,"13,000,000",03/23/2018,149500000,Priced
HRMNU,NextDecade Corp.,Nasdaq SmallCap Market,10.00,"10,000,000",03/24/2015,100000000,Priced
TANH,TANTECH HOLDINGS LTD,Nasdaq SmallCap Market,4.00,"3,200,000",03/24/2015,12800000,Priced
AYX,"Alteryx, Inc.",NYSE,14.00,"9,000,000",03/24/2017,126000000,Priced
SRUNU,"Alta Mesa Resources, Inc. /DE",NASDAQ Capital,10.00,"90,000,000",03/24/2017,900000000,Priced
CLLS,Cellectis S.A.,Nasdaq National Market,41.50,"5,500,000",03/25/2015,228250000,Priced
SEDG,"SOLAREDGE TECHNOLOGIES, INC.",Nasdaq National Market,18.00,"7,000,000",03/26/2015,126000000,Priced
FSB,Franklin Financial Network Inc.,New York Stock Exchange,21.00,"2,640,000",03/26/2015,55440000,Priced
JCAP,"Jernigan Capital, Inc.",New York Stock Exchange,20.00,"5,000,000",03/27/2015,100000000,Priced
GHG,GreenTree Hospitality Group Ltd.,NYSE,14.00,"10,200,000",03/27/2018,142800000,Priced
GNFT,Genfit S.A.,NASDAQ Global Select,20.32,"6,150,000",03/27/2019,124968000,Priced
ONE,OneSmart International Education Group Ltd,NYSE,11.00,"16,300,000",03/28/2018,179300000,Priced
OPBK,OP Bancorp,NASDAQ Global,11.00,"2,000,000",03/28/2018,22000000,Priced
BILI,Bilibili Inc.,NASDAQ Global Select,11.50,"42,000,000",03/28/2018,483000000,Priced
FIXX,"Homology Medicines, Inc.",NASDAQ Global Select,16.00,"9,000,000",03/28/2018,144000000,Priced
DTIL,PRECISION BIOSCIENCES INC,NASDAQ Global Select,16.00,"7,900,000",03/28/2019,126400000,Priced
JFKKU,8i Enterprises Acquisition Corp.,NASDAQ Capital,10.00,"5,000,000",03/28/2019,50000000,Priced
IQ,"iQIYI, Inc.",NASDAQ Global,18.00,"125,000,000",03/29/2018,2250000000,Priced
UMRX,Unum Therapeutics Inc.,NASDAQ Global Select,12.00,"5,770,000",03/29/2018,69240000,Priced
GNPX,"Genprex, Inc.",NASDAQ Capital,5.00,"1,280,000",03/29/2018,6400000,Priced
LYFT,"Lyft, Inc.",NASDAQ Global Select,72.00,"32,500,000",03/29/2019,2340000000,Priced
PUYI,"PUYI, INC.",NASDAQ Global,6.00,"4,292,276",03/29/2019,25753656,Priced
KAACU,Altus Midstream Co,NASDAQ Capital,10.00,"35,000,000",03/30/2017,350000000,Priced
GDDY,GoDaddy Inc.,New York Stock Exchange,20.00,"23,000,000",04/01/2015,460000000,Priced
KRNT,Kornit Digital Ltd.,Nasdaq National Market,10.00,"7,100,000",04/02/2015,71000000,Priced
PBTS,"Powerbridge Technologies Co., Ltd.",NASDAQ Capital,5.00,"1,750,000",04/02/2019,8750000,Priced
SPOT,Spotify Technology S.A.,NYSE,165.90,"55,731,480",04/03/2018,9245852532,Priced
RUHN,Ruhnn Holding Ltd,NASDAQ Global Select,12.50,"10,000,000",04/03/2019,125000000,Priced
NGM,NGM BIOPHARMACEUTICALS INC,NASDAQ Global Select,16.00,"6,666,667",04/04/2019,106666672,Priced
SILK,Silk Road Medical Inc,NASDAQ Global,20.00,"6,000,000",04/04/2019,120000000,Priced
TW,Tradeweb Markets Inc.,NASDAQ Global Select,27.00,"40,000,000",04/04/2019,1080000000,Priced
RPLAU,Replay Acquisition Corp.,NYSE,10.00,"25,000,000",04/04/2019,250000000,Priced
HESM,Hess Midstream Operations LP,NYSE,23.00,"14,780,000",04/05/2017,339940000,Priced
GHSI,"Guardion Health Sciences, Inc.",NASDAQ Capital,4.00,"1,250,000",04/05/2019,5000000,Priced
DTSS,DATASEA INC.,OTCBB,0.01,"9,393,000",04/06/2016,93930,Priced
SNDR,"Schneider National, Inc.",NYSE,19.00,"28,947,000",04/06/2017,549993000,Priced
ELVT,"Elevate Credit, Inc.",NYSE,6.50,"12,400,000",04/06/2017,80600000,Priced
AGLE,"Aeglea BioTherapeutics, Inc.",Nasdaq National Market,10.00,"5,000,000",04/07/2016,50000000,Priced
OKTA,"Okta, Inc.",NASDAQ Global Select,17.00,"11,000,000",04/07/2017,187000000,Priced
FMCIU,"ConvergeOne Holdings, Inc.",NASDAQ Capital,10.00,"15,000,000",04/07/2017,150000000,Priced
WOWO,Mercurity Fintech Holding Inc.,Nasdaq National Market,10.00,"4,000,000",04/08/2015,40000000,Priced
CBYL,"KalVista Pharmaceuticals, Inc.",Nasdaq National Market,5.00,"13,000,000",04/09/2015,65000000,Priced
BRPMU,ALTA EQUIPMENT GROUP INC.,NYSE,10.00,"12,500,000",04/09/2019,125000000,Priced
VEACU,Vantage Energy Acquisition Corp.,NASDAQ Capital,10.00,"48,000,000",04/11/2017,480000000,Priced
TUFN,Tufin Software Technologies Ltd.,NYSE,14.00,"7,700,000",04/11/2019,107800000,Priced
PD,"PagerDuty, Inc.",NYSE,24.00,"9,070,000",04/11/2019,217680000,Priced
NETS,Netshoes (Cayman) Ltd.,NYSE,18.00,"8,250,000",04/12/2017,148500000,Priced
ZUO,ZUORA INC,NYSE,14.00,"11,000,000",04/12/2018,154000000,Priced
JMIA,Jumia Technologies AG,NYSE,14.50,"13,500,000",04/12/2019,195750000,Priced
TOCA,Tocagen Inc,NASDAQ Global Select,10.00,"8,500,000",04/13/2017,85000000,Priced
CADE,Cadence Bancorporation,NYSE,20.00,"7,500,000",04/13/2017,150000000,Priced
HCC,"WARRIOR MET COAL, INC.",NYSE,19.00,"16,666,667",04/13/2017,316666673,Priced
YEXT,"Yext, Inc.",NYSE,11.00,"10,500,000",04/13/2017,115500000,Priced
PACQU,Pure Acquisition Corp.,NASDAQ Capital,10.00,"36,000,000",04/13/2018,360000000,Priced
XBIT,XBiotech Inc.,Nasdaq National Market,19.00,"4,000,000",04/15/2015,76000000,Priced
CDTX,"Cidara Therapeutics, Inc.",Nasdaq National Market,16.00,"4,800,000",04/15/2015,76800000,Priced
ADRO,"ADURO BIOTECH, INC.",Nasdaq National Market,17.00,"7,000,000",04/15/2015,119000000,Priced
VIRT,"Virtu Financial, Inc.",Nasdaq SmallCap Market,19.00,"16,532,272",04/16/2015,314113168,Priced
KMPH,"KEMPHARM, INC",Nasdaq National Market,11.00,"5,090,909",04/16/2015,55999999,Priced
ETSY,ETSY INC,Nasdaq National Market,16.00,"16,666,666",04/16/2015,266666656,Priced
PRTY,Party City Holdco Inc.,New York Stock Exchange,17.00,"21,875,000",04/16/2015,371875000,Priced
PLMR,"Palomar Holdings, Inc.",NASDAQ Global Select,15.00,"5,625,000",04/17/2019,84375000,Priced
TPTX,"Turning Point Therapeutics, Inc.",NASDAQ Global Select,18.00,"9,250,000",04/17/2019,166500000,Priced
BWAY,Brainsway Ltd.,NASDAQ Global,11.00,"2,500,000",04/17/2019,27500000,Priced
AGMH,"AGM GROUP HOLDINGS, INC.",NASDAQ Capital,5.00,"1,306,055",04/18/2018,6530275,Priced
GNLN,"Greenlane Holdings, Inc.",NASDAQ Global,17.00,"6,000,000",04/18/2019,102000000,Priced
HOOK,HOOKIPA Pharma Inc.,NASDAQ Global Select,14.00,"6,000,000",04/18/2019,84000000,Priced
MNRL,"Brigham Minerals, Inc.",NYSE,18.00,"14,500,000",04/18/2019,261000000,Priced
PINS,"PINTEREST, INC.",NYSE,19.00,"75,000,000",04/18/2019,1425000000,Priced
ZM,"Zoom Video Communications, Inc.",NASDAQ Global Select,36.00,"20,869,565",04/18/2019,751304340,Priced
SURF,"Surface Oncology, Inc.",NASDAQ Global,15.00,"7,200,000",04/19/2018,108000000,Priced
MOR,MorphoSys AG,NASDAQ Global,25.04,"8,300,000",04/19/2018,207832000,Priced
EAF,GRAFTECH INTERNATIONAL LTD,NYSE,15.00,"35,000,000",04/19/2018,525000000,Priced
MGP,MGM Growth Properties LLC,New York Stock Exchange,21.00,"50,000,000",04/20/2016,1050000000,Priced
LEVL,Level One Bancorp Inc,NASDAQ Global Select,28.00,"1,200,000",04/20/2018,33600000,Priced
PVTL,"Pivotal Software, Inc.",NYSE,15.00,"37,000,000",04/20/2018,555000000,Priced
ARA,"American Renal Associates Holdings, Inc.",New York Stock Exchange,22.00,"7,500,000",04/21/2016,165000000,Priced
WTTR,"Select Energy Services, Inc.",NYSE,14.00,"8,700,000",04/21/2017,121800000,Priced
SCWX,SecureWorks Corp,Nasdaq National Market,14.00,"8,000,000",04/22/2016,112000000,Priced
NSA,National Storage Affiliates Trust,New York Stock Exchange,13.00,"20,000,000",04/23/2015,260000000,Priced
APIC,Apigee Corp,Nasdaq National Market,17.00,"5,115,000",04/24/2015,86955000,Priced
CATS,"CATASYS, INC.",NASDAQ Capital,4.80,"3,125,000",04/26/2017,15000000,Priced
LASR,"NLIGHT, INC.",NASDAQ Global Select,16.00,"6,000,000",04/26/2018,96000000,Priced
CDAY,Ceridian HCM Holding Inc.,NYSE,22.00,"21,000,000",04/26/2018,462000000,Priced
ACTTU,Act II Global Acquisition Corp.,NASDAQ Capital,10.00,"26,100,000",04/26/2019,261000000,Priced
RRR,"Red Rock Resorts, Inc.",Nasdaq National Market,19.50,"27,250,000",04/27/2016,531375000,Priced
YIN,Yintech Investment Holdings Ltd,Nasdaq National Market,13.50,"7,500,000",04/27/2016,101250000,Priced
VRNA,Verona Pharma plc,NASDAQ Global,13.50,"5,768,000",04/27/2017,77868000,Priced
FND,"Floor & Decor Holdings, Inc.",NYSE,21.00,"8,823,500",04/27/2017,185293500,Priced
DOCU,"DOCUSIGN, INC.",NASDAQ Global Select,29.00,"21,700,000",04/27/2018,629300000,Priced
GSHD,"Goosehead Insurance, Inc.",NASDAQ Global Select,10.00,"8,530,000",04/27/2018,85300000,Priced
SMAR,SMARTSHEET INC,NYSE,15.00,"11,633,920",04/27/2018,174508800,Priced
GWRS,"Global Water Resources, Inc.",Nasdaq National Market,6.25,"1,164,800",04/28/2016,7280000,Priced
PAVMU,PAVmed Inc.,Nasdaq SmallCap Market,5.00,"1,060,000",04/28/2016,5300000,Priced
CLDR,"Cloudera, Inc.",NYSE,15.00,"15,000,000",04/28/2017,225000000,Priced
CVNA,CARVANA CO.,NYSE,15.00,"15,000,000",04/28/2017,225000000,Priced
EEX,"Emerald Holding, Inc.",NYSE,17.00,"15,500,000",04/28/2017,263500000,Priced
